AIRPORT_ID,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
14720,Shevchenko,"Aktau, U.S.S.R.",78601,U.S.S.R.,SU,,43,N,52,0,43.86666667,51,E,6,0,51.10000000,6/1/1991 12:00:00 AM,12/31/1991 12:00:00 AM,0,0
14721,Santiago,"Santiago de Compostela, Spain",48201,Spain,ES,,42,N,53,42,42.89500000,8,W,24,54,-8.41500000,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14721,Santiago,"Santiago de Compostela, Spain",48201,Spain,ES,,42,N,53,47,42.89638889,8,W,24,55,-8.41527778,7/1/2011 12:00:00 AM,9/30/2011 12:00:00 AM,0,0
14721,Santiago,"Santiago de Compostela, Spain",48201,Spain,ES,,42,N,53,47,42.89638889,8,W,24,55,-8.41527778,1/1/2013 12:00:00 AM,4/30/2023 12:00:00 AM,0,0
14721,Santiago,"Santiago de Compostela, Spain",48201,Spain,ES,,42,N,53,52,42.89777778,8,W,24,56,-8.41555556,10/1/2011 12:00:00 AM,12/31/2012 12:00:00 AM,0,0
14721,Santiago,"Santiago de Compostela, Spain",48201,Spain,ES,,42,N,53,52,42.89777778,8,W,24,56,-8.41555556,5/1/2023 12:00:00 AM,,0,1
14722,Antonio Maceo International,"Santiago, Cuba",21901,Cuba,CU,,19,N,58,9,19.96916667,75,W,50,9,-75.83583333,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14722,Antonio Maceo International,"Santiago, Cuba",21901,Cuba,CU,,19,N,58,11,19.96972222,75,W,50,7,-75.83527778,7/1/2011 12:00:00 AM,9/30/2011 12:00:00 AM,0,0
14722,Antonio Maceo International,"Santiago, Cuba",21901,Cuba,CU,,19,N,58,11,19.96972222,75,W,50,7,-75.83527778,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
14722,Antonio Maceo International,"Santiago, Cuba",21901,Cuba,CU,,19,N,58,12,19.97000000,75,W,50,8,-75.83555556,10/1/2011 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
14722,Antonio Maceo International,"Santiago, Cuba",21901,Cuba,CU,,19,N,58,12,19.97000000,75,W,50,8,-75.83555556,12/1/2017 12:00:00 AM,,0,1
14723,Stefan Cel Mare,"Suceava, Romania",47301,Romania,RO,,47,N,41,11,47.68638889,26,E,21,16,26.35444444,7/1/2015 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
14723,Stefan Cel Mare,"Suceava, Romania",47301,Romania,RO,,47,N,41,11,47.68638889,26,E,21,16,26.35444444,12/1/2017 12:00:00 AM,9/30/2022 12:00:00 AM,0,0
